@context,@type,@id,name,brand/@type,brand/name,image,description,mpn,sku,offers/0/@type,offers/0/lowPrice,offers/0/highPrice,offers/0/priceCurrency,offers/0/offers/0/@type,offers/0/offers/0/price,offers/0/offers/0/priceCurrency,offers/0/offers/0/availability,offers/0/offers/0/sku,offers/0/offers/0/itemCondition,offers/0/offers/0/priceValidUntil,offers/0/offers/0/seller/@type,offers/0/offers/0/seller/name,offers/0/offerCount
https://schema.org/,Product,https://www.angeloni.com.br/eletro/smartphone-samsung-galaxy-s22-128gb-preto-camera-tripla-8gb-ram-6-1-sm-s901-4797604/p,"Smartphone Samsung Galaxy S22 128GB Preto Câmera Tripla 8GB RAM 6,1&quot; SM-S901",Brand,SAMSUNG,https://eletroangeloni.vtexassets.com/arquivos/ids/349486/4797570_1.jpg?v=637994462566730000,"Smartphone Samsung Galaxy S22 128GB Preto Câmera Tripla 8GB RAM 6,1&quot; SM-S901",10245,11112,AggregateOffer,5199,5199,BRL,Offer,5199,BRL,http://schema.org/InStock,11112,http://schema.org/NewCondition,2024-03-19T21:04:32Z,Organization,Angeloni,1
https://schema.org/,Product,https://www.angeloni.com.br/eletro/smartphone-samsung-galaxy-a23-azul-sm-a235-4812863/p,Smartphone Samsung Galaxy A23 Azul SM-A235,Brand,SAMSUNG,https://eletroangeloni.vtexassets.com/arquivos/ids/234018/br-galaxy-a23-sm-a235-sm-a235mlbgzto-531826303.jpg?v=637890176469430000,Smartphone Samsung Galaxy A23 Azul SM-A235,18836,19131,AggregateOffer,1499,1499,BRL,Offer,1499,BRL,http://schema.org/InStock,19131,http://schema.org/NewCondition,2024-03-19T21:04:36Z,Organization,Angeloni,1
https://schema.org/,Product,https://www.angeloni.com.br/eletro/smartphone-motorlola-moto-g22-preto-xt2231-1-4806561/p,Smartphone Motorola Moto G22 Preto XT2231-1,Brand,MOTOROLA,https://eletroangeloni.vtexassets.com/arquivos/ids/220442/161211-800-auto.png?v=637919442063200000,"Smartphone Motorola Moto G22 Preto XT2231-1, um smartphone que oferece qualidade profissional nas fotos e com muito mais espaço de armazenamento para fotos, músicas e Apps!",18310,18605,AggregateOffer,1299,1299,BRL,Offer,1299,BRL,http://schema.org/InStock,18605,http://schema.org/NewCondition,2024-03-19T21:19:09Z,Organization,Angeloni,1
https://schema.org/,Product,https://www.angeloni.com.br/eletro/smartphone-samsung-galaxy-s21-fe-preto-sm-6990-4797515/p,Smartphone Samsung Galaxy S21 FE Preto SM-6990,Brand,SAMSUNG,https://eletroangeloni.vtexassets.com/arquivos/ids/221709/323773-800-auto.jpg?v=637865115940200000,"Uma tela imersiva tão surreal que você esquecerá o que é real. Além das molduras drasticamente mais finas para ampliar a visão, o display reproduz cores e brilho vibrantes mesmo sob a luz do sol.",10241,11108,AggregateOffer,3899,3899,BRL,Offer,3899,BRL,http://schema.org/InStock,11108,http://schema.org/NewCondition,2024-03-19T21:19:09Z,Organization,Angeloni,1
https://schema.org/,Product,https://www.angeloni.com.br/eletro/samrtphone-samsung-galaxy-a53-branco-sm-a536-4798254/p,Smartphone Samsung Galaxy A53 Branco SM-A536,Brand,SAMSUNG,https://eletroangeloni.vtexassets.com/arquivos/ids/220617/324841-800-auto.jpg?v=637859039559430000,Smartphone Samsung Galaxy A53 Branco SM-A536,10252,11119,AggregateOffer,2549,2549,BRL,Offer,2549,BRL,http://schema.org/InStock,11119,http://schema.org/NewCondition,2024-03-19T20:30:59Z,Organization,Angeloni,1
https://schema.org/,Product,https://www.angeloni.com.br/eletro/smartphone-samsung-galaxy-a32-128gb-preto-camera-quadrupla-64mp8mp5mp5mp-4gb-ram-tela-64-sm-a325-4642736/p,Smartphone Samsung Galaxy A32 128GB Preto Câmera Quadrupla 64MP 4GB RAM Tela 6.4&quot; SM-A325,Brand,SAMSUNG,https://eletroangeloni.vtexassets.com/arquivos/ids/167285/4642736_1_zoom.jpg?v=637795241948130000,"Encante-se com detalhes vibrantes no display full HD+ Super AMOLED, alcançando 800 nits¹ para proporcionar mais nitidez mesmo com a luz do dia. O Eye Comfort Shield² reduz a luz azul e o recurso de rolagem suave mantém a visualização suave enquanto você joga ou navega.",3493,4155,AggregateOffer,1999,1999,BRL,Offer,1999,BRL,http://schema.org/InStock,4155,http://schema.org/NewCondition,2024-03-19T20:48:17Z,Organization,Angeloni,1
https://schema.org/,Product,https://www.angeloni.com.br/eletro/smartphone-samsung-galaxy-a13-128gb-preto-camera-quadrupla-4gb-ram-tela-6-6-sm-a135-4812747/p,"Smartphone Samsung Galaxy A13 128GB Preto Câmera Quádrupla 4GB RAM Tela 6,6&quot; SM-A135",Brand,SAMSUNG,https://eletroangeloni.vtexassets.com/arquivos/ids/234039/br-galaxy-a13-sm-a135-sm-a135mzkjzto-531826458.jpg?v=637890205684300000,"Smartphone Samsung Galaxy A13 128GB Preto Câmera Quádrupla 4GB RAM Tela 6,6&quot; SM-A135",18819,19115,AggregateOffer,1499,1499,BRL,Offer,1499,BRL,http://schema.org/InStock,19115,http://schema.org/NewCondition,2024-03-19T21:19:09Z,Organization,Angeloni,1
https://schema.org/,Product,https://www.angeloni.com.br/eletro/smartphone-xiaomi-redmi-note-11-octa-core--6-43-4gb-ram-128gb-cinza-4934178/p,"Smartphone Xiaomi Redmi Note 11 Octa Core  6,43&quot; 4GB Ram 128GB Cinza",Brand,XIAOMI,https://eletroangeloni.vtexassets.com/arquivos/ids/398429/4934178_1.jpg?v=638076586089670000,"Smartphone Xiaomi Redmi Note 11 Octa Core  6,43&quot; 4GB Ram 128GB Cinza",78649,78472,AggregateOffer,2699.99,2699.99,BRL,Offer,2699.99,BRL,http://schema.org/InStock,78472,http://schema.org/NewCondition,2024-03-19T20:53:20Z,Organization,Angeloni,1
https://schema.org/,Product,https://www.angeloni.com.br/eletro/smartphone-samsung-galaxy-s20fe-128gb-branco-camera-32mp-sm-g780-4572079/p,Smartphone Samsung Galaxy S20FE 128GB Branco Câmera 32MP SM-G780,Brand,SAMSUNG,https://eletroangeloni.vtexassets.com/arquivos/ids/166090/4572079_1_zoom.jpg?v=637919358888500000,Smartphone Samsung Galaxy S20FE 128GB Branco Câmera 32MP SM-G780 com câmera de lente tripla de nível profissional e bateria inteligente. Confira!,3217,3850,AggregateOffer,3199,3199,BRL,Offer,3199,BRL,http://schema.org/InStock,3850,http://schema.org/NewCondition,2024-03-19T21:15:48Z,Organization,Angeloni,1
https://schema.org/,Product,https://www.angeloni.com.br/eletro/smartphone-samsung-galaxy-s20fe-128gb-azul-camera-32mp-sm-g780-4572060/p,Smartphone Samsung Galaxy S20FE 128GB Azul Câmera 32MP SM-G780,Brand,SAMSUNG,https://eletroangeloni.vtexassets.com/arquivos/ids/166086/4572060_1_zoom.jpg?v=637919358146470000,"A tela FHD Infinity-O de 6,5&quot; tem uma tela mais envolvente que torna seus jogos, streaming e videochamadas muito mais divertidos. Todos os olhos voltados para a tela Infinity-O.",3216,3849,AggregateOffer,3199,3199,BRL,Offer,3199,BRL,http://schema.org/InStock,3849,http://schema.org/NewCondition,2024-03-19T20:53:24Z,Organization,Angeloni,1
