left_product,left_manufacturer,left_price,left_description,right_product,right_manufacturer,right_price,right_description,match
Adaptador De Fone P2 Para Usb Tipo C 7.1 Audio - Adfusbtc,Vinik,28.83,"A linha de cabos, adaptadores e conversores Vinik, são as melhores opções no mercado. Sem perder a qualidade na sua necessidade de adaptar ou converter as entradas de áudio e vídeos de seus aparelhos. Suporte a função de chamada e função de controle de volume Compatível com a maioria dos dispositivos móveis Tipo C.",Adaptador De Audio Vinik P2 + Carregador Para USB-C - ADPATC7.1,Vinik,62.9,"A linha Tipo C (Type C) é a mais recente aplicação dos padrões USB. Praticamente todos novos dispositivos lançados no mercado recentemente contam com pelo menos, uma porta tipo C, como Smartphones, notebooks, computadores, pendrives, etc. Este adaptador de som de 7.1 canais Type C é uma interface de áudio altamente flexível, que pode ser usado em desktop ou notebook. Transforma o seu alto-falante estéreo ou fones de ouvido em 7.1 ambiente de canal. Placa de áudio USB TYPE C 7.1 Digital plug & play. Basta plugar no celular ou PC, que funciona automaticamente com Windows Vista, 7, 8, 8.1 e 10 (nenhum drive necessário). Compatível com full-speed (10Mbps)..",1
Carregador Energizer Portatil Power Bank 10.000MAH USB+uSB-c Preto,Energizer,95.86,"Carregador Portatil Energizer Power Bank 10.000MAH USB+USB-C Preto - UE10042BKO Energizer UE10042 é o banco de potência perfeito para smartphones, tablets e muito mais. Ele fornece capacidade de 10.000 mAh e entradas duplas com portas micro USB e USB-C. O UE10042 foi projetado de forma elegante com caixa robusta para evitar cenários e danos, o indicador LCD mostra rapidamente o nível da bateria e o status da carga.","Carregador Portátil Power Bank Energizer, 10.000Mah, 2 Portas (1xUSB, 1XUSB-C), Branco - UE10042WE",Energizer,88.25,"O Energizer UE10042 é o banco de potência perfeito para smartphones, tablets e muito mais. Ele fornece capacidade de 10.000 mAh e entradas duplas com portas micro USB e USB-C. O UE10042 foi projetado de forma elegante com caixa robusta para evitar cenários e danos, o indicador LCD mostra rapidamente o nível da bateria e o status da carga.",1
CABO USB-LIGHTNING 1M 2A CB-L10WH C3TECH,C3Plus,8.99,"Cabo USB para recarga e sincronização de dados através da conexão USB-Lightning, compatível com IOS. Recarregue mais rápido seus dispositivos eletrônicos em 2 amperes.","Cabo Lightning x USB, C3 Plus, 2m, Nylon, Preto - CB-L21BK",C3Plus,15.99,"Cabo USB para recarga e sincronização de dados através da conexão USB-Lightning, compatível com IOS. Recarregue mais rápido seus dispositivos eletrônicos em 2 amperes.",1
CABO USB-LIGHTNING 1M 2A CB-L10WH C3TECH,C3Plus,8.99,"Cabo USB para recarga e sincronização de dados através da conexão USB-Lightning, compatível com IOS. Recarregue mais rápido seus dispositivos eletrônicos em 2 amperes.","Cabo USB x USB-C, C3 Plus, 1m, Nylon, Azul - CB-C11BL",C3Plus,10.99,"Cabo de dados USB Tipo C para recarga e leitura de dados, ideal para dispositivos com sistema Android e iOS. Com o corpo revestido em malha de tecido, garante maior durabilidade no uso do dia a dia.",1
Tripé Portátil Mini Polvo Com Suporte Para Telefone Para Selfies Preto,Exbom,17.9,Tripé Portátil Mini Polvo Com Suporte Para Telefone Para Selfies Preto,Fone De Ouvido Earbuds Estéreo Bluetooth BTWS-S30 Exbom,Exbom,85.99,"Fone De Ouvido Bluetooth Earbuds Tws Estéreo Estojo De Carregamento Exbom Btws-s30 Preto E Vermelho Fone de ouvido intra-auricular bluetooth com tecnologia TWS, o verdadeiro som estéreo de excelente qualidade. Ambos microfones detectam o som externo e, em seguida, combatem com igual anti-ruído, cancelando o som externo. Tem design compacto e poderoso, é fácil de levar para qualquer lugar. Oferece até quatro horas de autonomia com uma carga completa de bateria. A base de carregamento, que funciona como bateria externa, estende esse tempo com mais 10 horas de uso. O processo de recarga pode levar duas horas usando apenas a caixinha, ou 1h e meia, com o estojo ligado à tomada. É compatível com vários dispositivos bluetooth de versão 5.0 e possui botão sensível ao toque. Com gestos simples, o usuário pode avançar ou interromper a reprodução de áudio, além de permitir o atendimento de chamadas telefônicas. Aproveite agora este mini fone wireless com tecnologia TWS e curta suas músicas favoritas!",0
Apple Watch Ultra 49mm GPS + Cellular Caixa,Apple,7699.0,"″O Apple Watch mais versátil e duro na queda já criado, projetado para exploração, aventura e esportes de resistência. Com uma caixa de titânio aeroespacial, até 36 horas de duração da bateria*, métricas avançadas de atividade, um treino Multiesporte, app Bússola redesenhado com os recursos Pontos Intermediários e Retraçar, e o novo app Profundidade**.Avisos legais O Apple Watch Ultra requer iPhone 8 ou posterior com iOS 16 ou posterior. * A duração da bateria varia de acordo com o uso e a configuração. Consulte apple.com/br/batteries para obter mais informações. ** É preciso ter uma assinatura do Oceanic+. Disponível na App Store. Siga sempre os protocolos de mergulho,mergulhe sempre em sistema de duplas e tenha sempre um aparelho de redundância″",Usado: iPhone XR 64GB Amarelo Bom - Trocafone,Apple,,"Aparelho Desbloqueado com garantia de 90 dias.Condição do aparelho: UsadoProduto USADO classificado como Bom apresenta diversos sinais de uso nítidos, como arranhões, riscos e amassadosA TELA do aparelho não está trincada ou rachada. Porém pode apresentar manchas no visor.Produto que já foi usado, ou seja, não é mais considerado um produto novo, mas que está totalmente desbloqueado para todas as operadoras, reconfigurado de acordo com os padrões do fabricante (sem dados de terceiros) e pronto para uso.Informações importantes:- Produto original e com nota fiscal.- Aparelho desbloqueado para todas as operadoras- Produto resetado no padrão de fábrica.- Todos os aparelhos são homologados pela Anatel (o IMEI foi verificado e garantimos a originalidade e procedência legal).- Por serem seminovos, os aparelhos não são resistentes a água.Conteúdo da embalagem:- 1 Celular- 1 Carregador Compatível- Nota fiscal- Manual do usuário O produto não é vendido em sua embalagem original. O conector da base para Usb e carregador Usb que acompanham o aparelho NÃO são originais, mas são certificados pelo Fabricante.O manual não consta na embalagem do distribuidor, mas pode ser verificado no site do fabricante.Este produto Usado foi revisado pelo distribuidor, está em perfeitas condições de funcionamento e têm garantia legal de 90 dias, fornecida pelo distribuidor, exclusivamente em relação a defeitos de funcionamento. prazo de 90 dias é contado da data de entrega do produto.Controle de qualidade: Todos os produtos Usados foram criteriosamente inspecionados por uma equipe técnica especializada, com objetivo de assegurar que cada aparelho atenda a todos os padrões de qualidade e funcionamento.Para que este produto possa ser comercializado foram realizados os seguintes testes:Wi-fiBluetoothSinal de redeAlto-falanteMicrofoneCâmeraBotõesTela (aparência de possíveis riscos)Desbloqueio do aparelhoiCloud liberado (quando aplicável)",0
"Celular Gradiente Flip Neo S, Dual Chip 2G, Rosa - GFP105",Gradiente,279.0,"Fale com seus contatos pessoais ou profissionais com este celular da Gradiente. O Neo S 105R tem capacidade para dois chips, memória interna de 32mb e com suporte a cartão SD de até 32GB. Ouça sua rádio favorita com a função de rádio FM ou músicas em MP3. Possui botão SOS para ligações de emergências ou mensagens. Por ser um um produto do tipo Flip, você pode atender e desligar chamar sem a necessidade de abrir o celular. Utilize sua operadora favorita, pois é um aparelho desbloqueado.",Celular Flip Gradiente Neo S105a - Azul,Gradiente,199.9,Celular Flip Gradiente Neo S105A - Azul,1
"Cabo USB, Bmax, Micro USB, 2m, V8 Reforçado",B-Max,18.66,"Cabo USB Micro USB 2 Metros V8 Reforçado Bmax Cabo Micro USB de alta qualidade, com 2 metros, é indicado para quem necessita de mais mobilidade, como controles de video game (Xbox One, PS4) e Smartphones.","Tripé B-Max JF-3110, Para Celular Smartphone, Câmera Go Pro, Com Bolsa, 1Metro",B-Max,62.9,Tripé Para Celular Smartphone Câmera Go Pro Com Bolsa - 100 Cm,0
Carregador Portátil Mymax - 10000mah,Mymax,119.0,Carregador Portátil Mymax 10000mah,Cabo Para Iphone Lightning Certificado Mfi - Mymax,Mymax,60.02,Cabo Para Iphone Lightning Certificado Mfi - Mymax,0
Cabo Micro Usb Elg EMBorrachado Branco 1.2m - M512w,Elg,22.9,"Cabo 2.4A Micro USB Emborrachado - 1,2Metro - M512R Branco - ELG CARGA RÁPIDA 10X mais resistente Maior comprimento (1,2Metro) Blindagem EXTRA Alta Performance Acabamento Microtexturizado Ultra Flexível A Série Colors de cabos ELG, traz uma linha completa de cabos e cores, em tons suaves, para acompanhar o seu estilo aonde você for! Com o cabo M512R, o seu dispositivo estará sempre carregado e pronto para o uso. Você pode recarregar e transferir dados de seu celular, power bank, com o máximo de eficiência e segurança. Possui 1,2 metro de comprimento, o que facilita ainda mais a usabilidade, mantendo seu dispositivo ao seu alcance mais facilmente. Ideal para o dia a dia, possui estrutura em PVC maleável, emborrachado e de alta durabilidade. Os filamentos internos em cobre de alta pureza, auxiliam no ganho de performance e redução no aquecimento durante o carregamento. Suporta até 2.4A, compatível com os mais variados dispositivos de última geração. Carga rápida e sincronização de dados de forma eficiente e segura. ELG, Soluções Inteligentes. COMPATÍVEL : smartphones, tablets, GPS, câmeras digitais, powerbanks e demais dispositivos com entrada Micro USB.",Carregador De Parede - Com Cabo Micro Usb - Elg Kt510wc,Elg,34.9,"Características: - Marca: Elg - Modelo: KT510WC - Cor: Preto Com o kit de recarga e sincronização KT510WC ELG você conecta o carregador USB universal ELG à porta de alimentação de qualquer tomada da sua residência ou escritório. Bivolt, para uso também em viagens. Ideal para o dia-a-dia!",1
